Descripcion,cateogira,precio final,,,,569,electro
 UVC ETIQUETA  CONTROL RADIACI�N UV-C  X100U,electro,69.8775,,,,001-0001,impresion
65W AC ADAPTER DELTA ADP-65JH DB,accesorios,61.78502,,,,001-0010,accesorios
AC ADAPTER   - 76G011651-5A -,accesorios,57.91181,,,,001-0011,impresion
ACCESORIO ANGULO EXTERNO MOVIL 70/105�X25U,redes,8.62488,,,,001-0014,pc
ACCESS POINT Aruba AP-505   WiFi6 (RW) Unified HPE,redes,730.0293,,,,001-0015,sillas
ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE,redes,1149.71714,,,,001-0016,discos
ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES,cables,1.130415,,,,001-0020,accesorios
ADAPTADOR 80 A 68 PINES P/SCSI,accesorios,5.49703,,,,001-0030,cables
ADAPTADOR 9M-25M BN-5015,cables,1.41086,,,,001-0032,auriculares
ADAPTADOR C36H A DB25M,cables,24.26138,,,,001-0040,accesorios
ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773,accesorios,61.63861,,,,001-0050,impresion
ADAPTADOR DE RED TP-LINK USB 2.0 LAN 100MBPS UE200,accesorios,17.62244,,,,001-0054,electro
ADAPTADOR DE RED TP-LINK USB 3.0 LAN GIGABIT UE306,accesorios,26.38042,,,,001-0055,redes
ADAPTADOR DE RED TP-LINK USB-C LAN GIGABIT UE300C,accesorios,26.68655,,,,001-0060,impresion
ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4,accesorios,45.58125,,,,001-0070,accesorios
ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA,accesorios,0.498355,,,,001-0071,accesorios
ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I),accesorios,70.33004,,,,001-0100,accesorios
ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5,accesorios,77.488125,,,,001-0101,accesorios
ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5,accesorios,119.79,,,,001-0110,accesorios
ADAPTADOR LENOVO PCIe Riser Card X3650M5,accesorios,88.12375,,,,001-0131,accesorios
ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450,accesorios,138.09125,,,,001-0134,discos
ADAPTADOR MOUSE/MODEM DB9H-DB25M,mouse,1.47741,,,,001-0140,accesorios
ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS,cables,1.96988,,,,001-0150,accesorios
ADAPTADOR P/JOYSTICK 15M/15M,teclados,1.67706,,,,001-0160,electro
ADAPTADOR P/MOUSE 9M/9M NB-515,mouse,1.34431,,,,001-0168,proyector
ADAPTADOR PPGA P/INTEL CELERON,procesadores,9.979255,,,,001-0170,impresion
ADAPTADOR SCSI SCA 80H/BH50-68,cables,16.18496,,,,001-0190,gabinetes
AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU,pc,1687.13831,,,,001-0200,accesorios
AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 3YOS,pc,1666.30464,,,,001-0212,electro
AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 3YOS,pc,1898.46514,,,,001-0231,accesorios
AIRE ACOND NOBLEX 3200W INVERTER FRIO-CALOR,electro,1051.49,,,,001-0251,impresion
AIRE ACOND PHILCO 3350 W FRIO-CALOR,electro,875.1325,,,,001-0252,impresion
AIRE ACOND SIAM 3350 W FRIO CALOR,electro,918.39,,,,001-0254,impresion
AIRE ACOND SIAM 5200 W FRIO CALOR CAJA DA�ADA,electro,1176.93675,,,,001-0255,impresion
AIRE ACOND TCL 3200 W FRIO-CALOR,electro,732.05,,,,001-0257,impresion
ALARGUE MONITOR 15M/15H 1.5M,cables,3.35478,,,,001-0258,impresion
ALARGUE MONITOR 15M/15H 3M CX,cables,4.63188,,,,001-0260,impresion
ALARGUE MOUSE DB9M/9H 1.8M,cables,2.24939,,,,001-0279,impresion
ALARGUE TECLADO AT 1.8M,cables,0.78529,,,,001-0280,rams
ALARGUE TECLADO DIN5 D5M-5M 1.80 M,cables,1.26445,,,,001-0282,memorias
ALT. ARMOR P/EPSON K11431 S020193,accesorios,2.74703,,,,001-0290,electro
ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA,impresion,2.74703,,,,001-0300,redes
ALT. ARMOR P/EPSON K11801 T020311,accesorios,2.345915,,,,001-0304,camaras
ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI,accesorios,0.41327,,,,001-0305,webcams
ALT. ARMOR P/EPSON K11827 T009401,accesorios,4.1327,,,,001-0309,webcams
ALT.P/EPSON S020193,accesorios,2.589015,,,,001-0310,redes
AMPL.  8MB  C4136A  P/HP 1100,rams,119.179775,,,,001-0320,monitores
AMPL.  8MB EDO HP LASERJET 4000 HP08L15,accesorios,56.8854,,,,001-0330,procesadores
AMPL. 64MB HP VECTRA VL400 P1536A,rams,99.245575,,,,001-0331,mother
AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST,rams,1.96911,,,,001-0332,coolers
AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD,rams,99.269885,,,,001-0333,pc
AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818,rams,84.25846,,,,001-0335,accesorios
AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD,rams,69.271345,,,,001-0340,mouse
AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT,rams,1.96911,,,,001-0351,auriculares
AMPL.256MB KTM3123/256 IBM  KGST,rams,1.96911,,,,001-0355,parlantes
AMPL.256MB KTM43P150/256 UNIX WORKSTATION KGTN,rams,1.96911,,,,001-0360,notebooks
AMPL.256MB NYNIX CN0453 TOSHIBA A70 333 CL2.5,rams,69.81832,,,,001-0363,accesorios
AMPL.256MB SAMSUNG CN0452 TOSHIBA A70 333 CL2.5,rams,19.08335,,,,001-0368,tablets
ANILLAS ORGANIZADORAS GABITEL SET X 5 UN. (N),electro,27.65818,,,,001-0370,impresion
ANTENA  7DBI OMNI D-LINK ANT24-0700 2400MHZ SMA,redes,20.13803,,,,001-0420,accesorios
ANTENA 17DBI PANEL SECTORIAL 90�,redes,186.77923,,,,001-0430,accesorios
ANTENA 7 DBI OMNI 2.4 GHZ NM PACIFIC WIRELESS,redes,22.627,,,,001-0432,redes
