Descripcion,precio final,categoria,,569,electro
65W AC ADAPTER DELTA ADP-65JH DB,70.05053,accesorios,,001-0001,impresion
AC ADAPTER   - 76G011651-5A -,57.91181,accesorios,,001-0010,accesorios
ACCESORIO ANGULO EXTERNO MOVIL 70/105�X25U,8.62488,redes,,001-0011,impresion
ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES,1.26412,cables,,001-0014,pc
ADAPTADOR 80 A 68 PINES P/SCSI,5.49703,accesorios,,001-0015,sillas
ADAPTADOR 9M-25M BN-5015,1.41086,cables,,001-0016,discos
ADAPTADOR C36H A DB25M,24.26138,cables,,001-0020,accesorios
ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773,61.63861,accesorios,,001-0030,cables
ADAPTADOR DE RED TP-LINK USB 3.0 LAN GIGABIT UE306,30.66624,accesorios,,001-0032,auriculares
ADAPTADOR DE RED TP-LINK USB-C LAN GIGABIT UE300C,31.02561,accesorios,,001-0040,accesorios
ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4,45.58125,accesorios,,001-0050,impresion
ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA,0.46189,accesorios,,001-0054,electro
ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I),70.33004,accesorios,,001-0055,redes
ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5,77.488125,accesorios,,001-0060,impresion
ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5,119.79,accesorios,,001-0070,accesorios
ADAPTADOR LENOVO PCIe Riser Card X3650M5,88.12375,accesorios,,001-0071,accesorios
ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450,138.09125,accesorios,,001-0100,accesorios
ADAPTADOR MOUSE/MODEM DB9H-DB25M,1.47741,mouse,,001-0101,accesorios
ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS,2.27601,cables,,001-0110,accesorios
ADAPTADOR P/JOYSTICK 15M/15M,1.67706,teclados,,001-0131,accesorios
ADAPTADOR P/MOUSE 9M/9M NB-515,1.34431,mouse,,001-0134,discos
ADAPTADOR PPGA P/INTEL CELERON,11.57156,procesadores,,001-0140,accesorios
ADAPTADOR SCSI SCA 80H/BH50-68,16.18496,cables,,001-0150,accesorios
AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU,2530.707465,pc,,001-0160,electro
AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 1YOS,2499.45696,pc,,001-0168,proyector
AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 1YOS,2847.685555,pc,,001-0170,impresion
AIRE ACOND NOBLEX 3200W INVERTER FRIO-CALOR,1051.49,electro,,001-0190,gabinetes
AIRE ACOND NOBLEX 5200W FRIO-CALOR,1217.865,electro,,001-0200,accesorios
AIRE ACOND PHILCO 3350 W FRIO-CALOR,875.1325,electro,,001-0212,electro
AIRE ACOND PHILCO 3550W INVERTER FRIO-CALOR,1028.1975,electro,,001-0231,accesorios
AIRE ACOND SIAM 5200 W FRIO CALOR CAJA DA�ADA,1176.93675,electro,,001-0251,impresion
AIRE ACOND TCL 3200 W FRIO-CALOR,732.05,electro,,001-0252,impresion
ALARGUE MONITOR 15M/15H 1.5M,3.35478,cables,,001-0254,impresion
ALARGUE MONITOR 15M/15H 3M CX,5.25745,cables,,001-0255,impresion
ALARGUE MOUSE DB9M/9H 1.8M,2.24939,cables,,001-0257,impresion
ALARGUE TECLADO AT 1.8M,0.78529,cables,,001-0258,impresion
ALARGUE TECLADO DIN5 D5M-5M 1.80 M,1.26445,cables,,001-0260,impresion
ALT. ARMOR P/EPSON K11431 S020193,2.74703,accesorios,,001-0279,impresion
ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA,2.74703,impresion,,001-0280,rams
ALT. ARMOR P/EPSON K11801 T020311,2.345915,accesorios,,001-0282,memorias
ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI,0.41327,accesorios,,001-0290,electro
ALT. ARMOR P/EPSON K11827 T009401,4.1327,accesorios,,001-0300,redes
ALT.P/EPSON S020193,2.589015,accesorios,,001-0304,camaras
AMPL.  8MB  C4136A  P/HP 1100,143.01573,rams,,001-0305,webcams
AMPL.  8MB EDO HP LASERJET 4000 HP08L15,74.58308,accesorios,,001-0309,webcams
AMPL. 64MB HP VECTRA VL400 P1536A,120.65053,rams,,001-0310,redes
AMPL. 64MB KTC2430/64 CPQ DESKTOP KGST,2.272985,rams,,001-0320,monitores
AMPL. 64MB P/HPLASER 8000 HP64L14 MCARD,114.366395,rams,,001-0330,procesadores
AMPL.128MB HP 133Mhz ECC SDRAM TC2110 1818,104.934115,rams,,001-0331,mother
AMPL.128MB P/DESKPRO 2000 CM128P15 MCARD,79.80973,rams,,001-0332,coolers
AMPL.256MB KTH-X1000/256 HP SVR 2110 KGT,2.272985,rams,,001-0333,pc
AMPL.256MB KTM3123/256 IBM  KGST,2.272985,rams,,001-0335,accesorios
AMPL.256MB KTM43P150/256 UNIX WORKSTATION KGTN,2.272985,rams,,001-0340,mouse
AMPL.256MB NYNIX CN0453 TOSHIBA A70 333 CL2.5,80.44179,rams,,001-0351,auriculares
AMPL.256MB SAMSUNG CN0452 TOSHIBA A70 333 CL2.5,29.19631,rams,,001-0355,parlantes
ANILLAS ORGANIZADORAS GABITEL SET X 5 UN. (N),31.6778,electro,,001-0360,notebooks
ANTENA  7DBI OMNI D-LINK ANT24-0700 2400MHZ SMA,23.53208,redes,,001-0363,accesorios
ANTENA 17DBI PANEL SECTORIAL 90�,186.77923,redes,,001-0368,tablets
ANTENA 7 DBI OMNI 2.4 GHZ NM PACIFIC WIRELESS,26.06098,redes,,001-0370,impresion
ANTENA ROOTENA 5.8GHZ 24DBI MMCX PACIFIC WIRELESS,46.01267,redes,,001-0420,accesorios
ANTENA ROOTENA 5.8GHZ 24DBI UFL PACIFIC WIRELESS,46.01267,redes,,001-0430,accesorios
APC 19 ROTATING KEYBOARD DRAWER BLACK,646.90593,electro,,001-0432,redes
APC BATERIA DE REEMPLAZO CARTUCHO #121,938.06218,electro,,001-0455,accesorios
APC CABLE MANAGEMENT RINGS (QTY. 5 LARGE AND,108.6096,electro,,001-0480,impresion
APC CABLE USB P/KVM 1.8M,196.70849,electro,,001-0490,impresion
"APC Easy PDU, Basic, 1U, 16A, 230V, (8)C13",243.65286,electro,,001-0500,accesorios
APC Easy UPS 3S Kit Paralelo,497.91379,electro,,001-0510,accesorios
APC Fan cooler p/Easy Rack APC,314.63509,accesorios,,001-0520,accesorios
APC Modbus/Jbus Interface Card,510.47843,electro,,001-0521,accesorios
APC NetShelter SX 42U/48U Baying Trim Kit Black,95.45932,electro,,001-0522,procesadores
APC NetShelter SX Bolt-Down Kit,124.47512,accesorios,,001-0523,rams
APC PART DE PROTEC CABLES P/NETSHELTER 600MM,90.44145,electro,,001-0524,discos
APC PIEZAS P/MONT P/NETSHELTER ZERO U,131.22329,electro,,001-0525,discos
APC PROTEC TRANS POT P/LINEAS TEL DIGITAL,26.93944,electro,,001-0526,discos
"APC Rack PDU 2G, CONMUTADO, 0U, 32A,(21)C13 Y (3)C",5054.72539,electro,,001-0527,discos
"APC Rack PDU, Switched, 1U, 10A/230V, (8)C1 (DEMO)",1008.6318,electro,,001-0529,fuentes
APC SENSOR HUMO 10FT,701.25066,electro,,001-0530,teclados
APC SENSOR MONIT ACCESO P/NETSHELTER SX 12FT (DEMO,278.8445,electro,,001-0531,accesorios
APC SENSOR TEMP P/CENTRO DATOS C/PANTALLA,690.44294,electro,,001-0540,electro
APC SNMP CARD - EASY UPS ONLINE,404.10491,electro,,001-0555,accesorios
APC SRT 19 RAIL KIT FOR SMART-UPS SRT,274.78495,electro,,001-0556,fuentes
"APC Symmetra PX Power Module, 10/16kW, 400V",13426.34271,electro,,001-0557,accesorios
APC Temperature & Humidity Sensor,474.46157,electro,,001-0558,accesorios
APC Temperature & Humidity Sensor,504.42238,electro,,001-0560,accesorios
APC Temperature Sensor,147.0755,electro,,001-0565,camaras
"APCEasy PDU, Basic, Zero U, 32A, 230V, (20)C13 & (",450.87625,electro,,001-0580,electro
Aruba 10G SFP+ to SFP+ 1m DAC Cable,127.639655,accesorios,,001-0590,rams
Aruba 10G SFP+ to SFP+ 3m DAC Cable,402.561445,accesorios,,001-0600,impresion
Aruba HPE X240 10G SFP+ SFP+ 0.65m DAC Cable (L),215.884955,accesorios,,001-0601,camaras
Aruba soporte Instant On AP22,17.05011,accesorios,,001-0602,impresion
ASIC ANTMINER S19JPRO-104T SHA-256,14994.06766,accesorios,,001-0603,impresion
ASPIRADOR SAMSUNG  EBONY BLACK 2000W,219.615,electro,,001-0604,impresion
ASPIRADOR SAMSUNG BLUE COSMO 2000W,228.50608,electro,,001-0605,impresion
ASPIRADORA ROBOT SAMSUNG VR05R5050WK BLACK,666.77776,electro,,001-0606,impresion
ASPIRADORA ROBOT SMARTLIFE BARREDORA SL-RVC240,309.0582,electro,,001-0608,impresion
ASPIRADORA ROBOT TCL SWEEVA2000 - B200A,380.1336,electro,,001-0609,impresion
ASPIRADORA SAMSUNG  SIN BOLSA ROJA 2000W,220.18733,electro,,001-0612,redes
ASPIRADORA SMARTLIFE  CON BOLSA GRIS 1600W,126.445,electro,,001-0613,impresion
ASPIRADORA SMARTLIFE  SIN BOLSA AZUL  2000W,205.21358,electro,,001-0620,accesorios
ASUS BATERIA SERIE A3N 8CELL,333.93459,accesorios,,001-0998,notebooks
ASUS BATERIA SERIE A4L,289.01334,accesorios,,001-1001,impresion
ASUS BATERIA SERIE Z35F,309.76363,accesorios,,001-1055,cables
ASUS BATERIA SERIE Z9200 8CELL A6R,340.74931,accesorios,,001-1259,electro
ASUS CABLE 15P GAME PC99,22.77847,accesorios,,001-1260,electro
ASUS CABLE WEBCAM W5G,34.27325,accesorios,,001-1261,pc
ASUS DVD DUAL DL 8X P/NB SERIE A3E,272.454325,accesorios,,001-1510,gamer
ASUS MOTHERBOARD P/ NOTEBOOK  Z94L,188.96163,accesorios,,001-3560,electro
ASUS MOTHERBOARD P/NB A3L,420.477915,accesorios,,001-3561,accesorios
ASUS MOTHERBOARD P/NB ASUS A4L SERIES,393.347955,accesorios,,001-3562,celulares
ASUS MOTHERBOARD P/NB ASUS M5AE,520.69589,accesorios,,001-900,electro
AURICULARES  HONOR CHOICE EARBUDS X WHITE,83.99105,auriculares,,001-980,electro
AURICULARES  XIAOMI MI IN-EAR BASIC  MATTE BLACK,8.5085,auriculares,,002-0015,pc
AURICULARES  XIAOMI MI TRUE EARBUDS BASIC 2,46.079605,auriculares,,002-0021,pc
AURICULARES  YOUPIN QCY T1C BLUETOOTH  5.0 BLACK,29.670355,auriculares,,002-0137,discos
