producto,categoria,precio,Rubro,categoria,,569,electro
GOOGLE CHROMECAST 3 SMART TV (SIN TRAFO USB BLACK,electro,68.02741,569,electro,,001-0001,impresion
GOOGLE CHROMECAST 4 SMART TV (SIN TRAFO) USB,electro,119.01802,569,electro,,001-0010,accesorios
TV STICK XIAOMI MI TV ANDROID 9.0 HDMI 2K SINTRAFO,electro,91.98541,569,electro,,001-0011,impresion
TV STICK XIAOMI MI TV ANDROID 9.0 HDMI 2K SINTRAFO,electro,93.02359,569,electro,,001-0014,pc
TV STICK XIAOMI MI TV ANDROID 9.0 HDMI EXPO,electro,81.3241,569,electro,,001-0015,sillas
BROTHER CARTUCHO LC-1100HY 750 PAG (AMARILLO),impresion,1.373515,001-0001,impresion,,001-0016,discos
HP  10  CAB CIAN C4801A P/HP 2000/2500  VENC,impresion,2.078505,001-0001,impresion,,001-0020,accesorios
HP  10 CIAN C4841A S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0030,cables
HP  10 MAGENTA C4843A S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0032,auriculares
HP  11 MAGENTA C4837AL S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0040,accesorios
HP  12  CAB AMARILLO C5026A - VENCIDOS,impresion,2.078505,001-0001,impresion,,001-0050,impresion
HP  12  CAB CIAN C5024A - VENCIDOS,impresion,1.519375,001-0001,impresion,,001-0054,electro
HP  12  CAB MAGENTA C5025A - VENCIDOS,impresion,1.519375,001-0001,impresion,,001-0055,redes
HP  12  CAB NEGRO C5023A - VENCIDOS,impresion,2.078505,001-0001,impresion,,001-0060,impresion
HP  12 AMARILLO C4806A P/HP3000 VENCIDO,impresion,2.078505,001-0001,impresion,,001-0070,accesorios
HP  12 MAGENTA C4805A P/HP3000 VENCIDO,impresion,2.078505,001-0001,impresion,,001-0071,accesorios
HP  122 NEGRO CH561HL P/HP 3050,impresion,16.081065,001-0001,impresion,,001-0100,accesorios
HP  14 CAB AMARILLO C4923A P/HPCP1160 VENCIDO,impresion,3.11168,001-0001,impresion,,001-0101,accesorios
HP  14 CAB CIAN C4921A P/HPCP1160 VENCIDO,impresion,2.078505,001-0001,impresion,,001-0110,accesorios
HP  14 CAB MAGENTA C4922A P/HPCP1160 - VENCIDO,impresion,1.519375,001-0001,impresion,,001-0131,accesorios
HP  14 CAB MAGENTA C4922A P/HPCP1160 VENCIDO,impresion,2.078505,001-0001,impresion,,001-0134,discos
HP  14 CAB NEGRO C4920A P/HP CP1160 VENCIDO,impresion,2.078505,001-0001,impresion,,001-0140,accesorios
HP  14 CAB NEGRO C4920A S/CAJA-VENCIDO,impresion,1.519375,001-0001,impresion,,001-0150,accesorios
HP  14 TRICOLOR C5010DL P/ HPCP1160 - VENC,impresion,2.078505,001-0001,impresion,,001-0160,electro
HP  16 TRICOLOR C1816A S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0168,proyector
HP  19 NEGRO C6628A P/HP350 VENCIDO,impresion,1.519375,001-0001,impresion,,001-0170,impresion
HP  19 NEGRO C6628A S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0190,gabinetes
HP  25 TRICOLOR 51625A  EXPO,impresion,1.519375,001-0001,impresion,,001-0200,accesorios
HP  40 AMARILLO 51640Y P/HP1200C/1600C VENC,impresion,2.078505,001-0001,impresion,,001-0212,electro
HP  40 CIAN 51640C P/HP1200C/1600C VENCIDO,impresion,2.078505,001-0001,impresion,,001-0231,accesorios
HP  40 CIAN 51640C S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0251,impresion
HP  49 TRICOLOR 51649A P/HP610/30/40/56/ VENCIDO,impresion,1.519375,001-0001,impresion,,001-0252,impresion
HP  50 CIAN 51650C P/HP250C/600C/650 - VENCIDOS,impresion,2.078505,001-0001,impresion,,001-0254,impresion
HP  51633  S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0255,impresion
HP  58 FOTOGRAFICO C6658A S/CAJA- VENCIDO,impresion,1.519375,001-0001,impresion,,001-0257,impresion
HP  58 FOTOGRAFICO C6658A VENCIDO P/HP3650/3845,impresion,2.078505,001-0001,impresion,,001-0258,impresion
"HP  670 AMARILLO P/ HP 3525/4615/4625,/5525 CZ116A",impresion,1.519375,001-0001,impresion,,001-0260,impresion
HP  675 COLOR CN691AL P/HP 4000,impresion,2.078505,001-0001,impresion,,001-0279,impresion
HP  70 NEGRO MATE C9448A P/Z2100/Z3100 F,impresion,10.392525,001-0001,impresion,,001-0280,rams
HP  81 CIAN C4931A P/HP SERIE 5000,impresion,7.596875,001-0001,impresion,,001-0282,memorias
HP  81 CIAN C4931A P/HP SERIE 5000 S/CAJA-VENCIDO,impresion,7.596875,001-0001,impresion,,001-0290,electro
HP  81 CIAN CLARO C4934A S/CAJA-VENCIDO,impresion,7.596875,001-0001,impresion,,001-0300,redes
HP  82 NEGRO CH565A P/HP 510,impresion,7.596875,001-0001,impresion,,001-0304,camaras
HP  84  CAB CIAN CLARO C5020A P/HP DJ 120 VENC,impresion,1.519375,001-0001,impresion,,001-0305,webcams
HP  84  CAB CIAN CLARO C5020A S/CAJA-VENCIDO,impresion,3.03875,001-0001,impresion,,001-0309,webcams
HP  84 LIGHT MAGENTA C5018A P/HP DJ 120,impresion,3.03875,001-0001,impresion,,001-0310,redes
HP  85   CAB CIAN CLARO C9423A S/CAJA-VENCIDO,impresion,3.03875,001-0001,impresion,,001-0320,monitores
HP  85  CAB AMARILLO C9422A S/CAJA- VENCIDO,impresion,3.03875,001-0001,impresion,,001-0330,procesadores
HP  85  CAB CIAN C9420A L VENCIDO,impresion,3.03875,001-0001,impresion,,001-0331,mother
HP  85  CAB CIAN C9420A S/CAJA-VENCIDO,impresion,1.519375,001-0001,impresion,,001-0332,coolers
HP  85  CAB MAGENTA C9421A S/CAJA- VENCIDO,impresion,3.03875,001-0001,impresion,,001-0333,pc
HP  85 AMARILLO C9427A P/HP DJ 30/90/130 VENCIDO,impresion,7.596875,001-0001,impresion,,001-0335,accesorios
HP  85 CIAN C9425A P/HP DJ 30/90 S/CAJA- VENCIDO,impresion,4.15701,001-0001,impresion,,001-0340,mouse
HP  88 AMARILLO C9388AL P/HPK550/5400 VENC,impresion,1.519375,001-0001,impresion,,001-0351,auriculares
HP  90  CAB/LIMP CIAN C5055A S/CAJA- VENCIDO,impresion,7.596875,001-0001,impresion,,001-0355,parlantes
HP  90 AMARILLO C5065A P/HP DJ 4000/4000PS F,impresion,7.596875,001-0001,impresion,,001-0360,notebooks
HP  901 TRICOLOR VENC CC656AL P/HP J4660/J4550,impresion,2.078505,001-0001,impresion,,001-0363,accesorios
HP  91  CAB MAG Y AMARILLO C9461A P/Z6100,impresion,3.03875,001-0001,impresion,,001-0368,tablets
HP  91  CAB NEGRO FOTO Y LIGHT GRIS C9463A P/Z6100,impresion,3.03875,001-0001,impresion,,001-0370,impresion
HP  91  CAB NEGRO MATE Y CIAN C9460A P/Z6100 VENCI,impresion,3.03875,001-0001,impresion,,001-0420,accesorios
HP  91 LIGHT CIAN C9470A P/Z6100 F VENCIDA,impresion,4.15701,001-0001,impresion,,001-0430,accesorios
HP  91 LIGHT GRIS C9466A P/Z6100 F VENCIDO,impresion,4.15701,001-0001,impresion,,001-0432,redes
HP  91 NEGRO FOTO C9465A P/Z6100 F VENCIDO,impresion,4.15701,001-0001,impresion,,001-0455,accesorios
HP  94 NEGRO C8765WL P/HP6540/PSC2355/1610,impresion,2.078505,001-0001,impresion,,001-0480,impresion
HP  940 NEGRO C4902AL VENC P/HP 8000/8500,impresion,2.078505,001-0001,impresion,,001-0490,impresion
